hour,token_col,collateral_amount_usd,debt_amount_usd,extracted,liquidation_count
2025-01-28 07:00:00,WETH,0,0,0,0
2025-01-28 06:00:00,WETH,0,0,0,0
2025-01-28 05:00:00,WETH,0,0,0,0
2025-01-28 04:00:00,WETH,0,0,0,0
2025-01-28 03:00:00,WETH,0,0,0,0
2025-01-28 02:00:00,WETH,0,0,0,0
2025-01-28 01:00:00,WETH,0,0,0,0
2025-01-28 00:00:00,WETH,0,0,0,0
2025-01-27 23:00:00,WETH,0,0,0,0
2025-01-27 22:00:00,WETH,0,0,0,0
2025-01-27 21:00:00,WETH,0,0,0,0
2025-01-27 20:00:00,WETH,0,0,0,0
2025-01-27 19:00:00,WETH,0,0,0,0
2025-01-27 18:00:00,WETH,0,0,0,0
2025-01-27 17:00:00,WETH,0,0,0,0
2025-01-27 16:00:00,WETH,0,0,0,0
2025-01-27 15:00:00,WETH,0,0,0,0
2025-01-27 14:00:00,WETH,0,0,0,0
2025-01-27 13:00:00,WETH,0,0,0,0
2025-01-27 12:00:00,WETH,0,0,0,0
2025-01-27 11:00:00,WETH,0,0,0,0
2025-01-27 10:00:00,WETH,143.7124803923328,137.0591473584667,6.65333303386609,1
2025-01-27 09:00:00,WETH,0,0,0,0
2025-01-27 08:00:00,WETH,633.1817023603596,601.2649586217145,31.916743738645067,2
2025-01-27 07:00:00,WETH,568611.5907444399,541123.4148514344,27488.175893005366,16
2025-01-27 06:00:00,WETH,7057.4722715439275,6737.179575811801,320.29269573212565,3
2025-01-27 05:00:00,WETH,395029.2083216775,376109.114432891,18920.093888786458,10
2025-01-27 04:00:00,WETH,104.82703384231955,100.31989093579705,4.507142906522503,1
2025-01-27 03:00:00,WETH,115.13947776924925,110.21440416992151,4.925073599327746,1
2025-01-27 02:00:00,WETH,8716.036796477512,8346.563023542905,369.4737729346074,7
2025-01-27 01:00:00,WETH,45385.481189595346,43197.810897839765,2187.6702917555813,1
2025-01-27 00:00:00,WETH,0,0,0,0
2025-01-26 23:00:00,WETH,0,0,0,0
2025-01-26 22:00:00,WETH,0,0,0,0
2025-01-26 21:00:00,WETH,0,0,0,0
2025-01-26 20:00:00,WETH,138.26669491472504,131.89679947280433,6.369895441920704,1
2025-01-26 19:00:00,WETH,0,0,0,0
2025-01-26 18:00:00,WETH,0,0,0,0
2025-01-26 17:00:00,WETH,0,0,0,0
2025-01-26 16:00:00,WETH,0,0,0,0
2025-01-26 15:00:00,WETH,0,0,0,0
2025-01-26 14:00:00,WETH,0,0,0,0
2025-01-26 13:00:00,WETH,0,0,0,0
2025-01-26 12:00:00,WETH,0,0,0,0
2025-01-26 11:00:00,WETH,0,0,0,0
2025-01-26 10:00:00,WETH,0,0,0,0
2025-01-26 09:00:00,WETH,3471.249942337551,3308.8168464735336,162.43309586401756,1
2025-01-26 08:00:00,WETH,0,0,0,0
2025-01-26 07:00:00,WETH,0,0,0,0
2025-01-26 06:00:00,WETH,0,0,0,0
2025-01-26 05:00:00,WETH,0,0,0,0
2025-01-26 04:00:00,WETH,0,0,0,0
2025-01-26 03:00:00,WETH,0,0,0,0
2025-01-26 02:00:00,WETH,0,0,0,0
2025-01-26 01:00:00,WETH,0,0,0,0
2025-01-26 00:00:00,WETH,0,0,0,0
2025-01-25 23:00:00,WETH,0,0,0,0
2025-01-25 22:00:00,WETH,0,0,0,0
2025-01-25 21:00:00,WETH,0,0,0,0
2025-01-25 20:00:00,WETH,0,0,0,0
2025-01-25 19:00:00,WETH,0,0,0,0
2025-01-25 18:00:00,WETH,0,0,0,0
2025-01-25 17:00:00,WETH,0,0,0,0
2025-01-25 16:00:00,WETH,0,0,0,0
2025-01-25 15:00:00,WETH,0,0,0,0
2025-01-25 14:00:00,WETH,0,0,0,0
2025-01-25 13:00:00,WETH,0,0,0,0
2025-01-25 12:00:00,WETH,0,0,0,0
2025-01-25 11:00:00,WETH,0,0,0,0
2025-01-25 10:00:00,WETH,0,0,0,0
2025-01-25 09:00:00,WETH,0,0,0,0
